"Source:","C:\Users\KAN CHANG FEI\Documents\KiCad\6.0\projects\Atmega32 board\Atmega32 board\Atmega32 board.kicad_sch"
"Date:","12/14/2023 1:03:02 AM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","128"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","330uF","C_Polarized_US","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","Polarized capacitor, US symbol","",""
"C2","1","100uF","C_Polarized_US","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","Polarized capacitor, US symbol","",""
"C3, C4","2","22pF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"D1, D2, D3, D4, D5, D6, D7, D8","8","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"D9","1","D_Schottky","D_Schottky","Diode_SMD:D_SMA","Schottky diode","",""
"H1, H2, H3, H4","4","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3","Mounting Hole without connection","",""
"J1, J8","2","Screw_Terminal_01x02","Screw_Terminal_01x02","TerminalBlock_RND:TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2, J3, J4, J5","4","Conn_01x08_Male","Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6","1","Barrel_Jack","Barrel_Jack","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","DC Barrel Jack","",""
"J7","1","AVR-ISP-10","AVR-ISP-10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","Atmel 10-pin ISP connector","",""
"J9","1","Conn_01x04_Male","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J10, J11","2","Conn_01x05_Male","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64","40","1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R65","25","10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"RV1","1","R_Potentiometer","R_Potentiometer","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","Potentiometer","",""
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17","17","SW_SPST","SW_SPST","Button_Switch_THT:SW_PUSH_6mm","Single Pole Single Throw (SPST) switch","",""
"SW18","1","SW_DIP_x02","SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","",""
"SW21","1","SW_DIP_x08","SW_DIP_x08","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","8x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","",""
"U1, U3, U4, U10, U11","5","74LS374","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","8-bit Register, 3-state outputs","",""
"U2","1","ATmega32A-P","ATmega32A-P","Package_DIP:DIP-40_W15.24mm","16MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, JTAG, DIP-40","",""
"U5, U6, U12, U13","4","D198K","D198K","Display_7Segment:7SegmentLED_LTS6760_LTS6780","One digit 7 segment orangish-red LED, low current, common cathode","",""
"U7, U9","2","74LS148","74LS148","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm","Priority Encoder 3 to 8 cascadable","",""
"U8","1","74LS541","74LS541","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","8-bit Buffer/Line Driver 3-state outputs","",""
"U14","1","LM7805_TO220","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220","",""
"Y1","1","16Mhz","Crystal","Crystal:Crystal_HC49-U_Vertical","Two pin crystal","",""
